# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
3.119999647140502930e+00 5.103610828518867493e-02
3.097999811172485352e+00 5.054506286978721619e-02
3.049999952316284180e+00 4.959570616483688354e-02
3.740000128746032715e-01 6.088977679610252380e-03
4.720000028610229492e-01 7.660327013581991196e-03
5.800000429153442383e-01 8.904311805963516235e-03
7.380000352859497070e-01 1.103217992931604385e-02
7.020000219345092773e-01 1.119586266577243805e-02
5.320000052452087402e-01 8.576947264373302460e-03
5.939999818801879883e-01 9.559039957821369171e-03
6.160000562667846680e-01 9.886404499411582947e-03
6.760000586509704590e-01 1.093397103250026703e-02
7.660000324249267578e-01 1.237437408417463303e-02
8.499999046325683594e-01 1.381477713584899902e-02
9.440000057220458984e-01 1.528791710734367371e-02
1.021999955177307129e+00 1.640095561742782593e-02
1.031999826431274414e+00 1.640095561742782593e-02
1.007999897003173828e+00 1.613906398415565491e-02
9.319998621940612793e-01 1.518970821052789688e-02
7.919998764991760254e-01 1.293089333921670914e-02
6.699999570846557617e-01 1.093397103250026703e-02
5.939999818801879883e-01 9.689985774457454681e-03
5.759999752044677734e-01 9.395358152687549591e-03
9.799999594688415527e-01 1.564801856875419617e-02
1.874000072479248047e+00 2.546894922852516174e-02
2.246000051498413086e+00 2.936458587646484375e-02
1.709999918937683105e+00 2.448685653507709503e-02
1.001999974250793457e+00 1.476413384079933167e-02
6.119999885559082031e-01 8.773365989327430725e-03
5.539999604225158691e-01 7.856745272874832153e-03
4.939999580383300781e-01 7.529381196945905685e-03
3.999999761581420898e-01 6.252659950405359268e-03
4.399999976158142090e-01 6.514551583677530289e-03
4.979999959468841553e-01 6.809179671108722687e-03
6.440000534057617188e-01 8.085900917649269104e-03
8.219999670982360840e-01 9.820931591093540192e-03
1.079999923706054688e+00 1.276721153408288956e-02
1.252000093460083008e+00 1.512423530220985413e-02
1.476000070571899414e+00 1.712115854024887085e-02
1.655999898910522461e+00 1.780862361192703247e-02
1.979999899864196777e+00 1.885619014501571655e-02
2.198000192642211914e+00 1.951091736555099487e-02
2.388000011444091797e+00 2.016564644873142242e-02
1.043999910354614258e+00 1.685926690697669983e-02
1.323999881744384766e+00 2.144236862659454346e-02
1.597999811172485352e+00 2.455233037471771240e-02
1.129999995231628418e+00 1.649916544556617737e-02
9.699999690055847168e-01 1.221069227904081345e-02
1.162000060081481934e+00 1.276721153408288956e-02
1.560000300407409668e+00 1.577896438539028168e-02
2.167999744415283203e+00 1.947818137705326080e-02
2.901999711990356445e+00 2.360297366976737976e-02
3.817999839782714844e+00 2.903722226619720459e-02
4.747999668121337891e+00 3.702491149306297302e-02
5.619999408721923828e+00 4.399777576327323914e-02
6.193999290466308594e+00 4.714047163724899292e-02
6.500000000000000000e+00 4.717320948839187622e-02
6.678000450134277344e+00 4.517628625035285950e-02
6.940000057220458984e+00 4.455429315567016602e-02
7.334000110626220703e+00 4.635479673743247986e-02
8.231999397277832031e+00 5.211641266942024231e-02
8.894000053405761719e+00 5.800897255539894104e-02
8.781999588012695312e+00 5.764887109398841858e-02
1.006000041961669922e+00 1.617180183529853821e-02
3.834000110626220703e+00 3.977477550506591797e-02
4.106000423431396484e+00 4.164075106382369995e-02
4.094000339508056641e+00 4.245916381478309631e-02
3.949999809265136719e+00 4.259010776877403259e-02
3.253999948501586914e+00 3.761417046189308167e-02
2.679999828338623047e+00 3.329296037554740906e-02
2.665999650955200195e+00 3.293285891413688660e-02
3.189999580383300781e+00 3.728680312633514404e-02
4.138000011444091797e+00 4.540544003248214722e-02
5.117999553680419922e+00 5.316397920250892639e-02
6.099999427795410156e+00 6.072609499096870422e-02
6.690000057220458984e+00 6.370510905981063843e-02
7.152000427246093750e+00 6.648770719766616821e-02
7.423998832702636719e+00 6.730611622333526611e-02
7.519998550415039062e+00 6.596392393112182617e-02
7.810000419616699219e+00 6.848463416099548340e-02
8.482000350952148438e+00 7.545749098062515259e-02
8.807998657226562500e+00 7.981143891811370850e-02
8.916000366210937500e+00 8.272498100996017456e-02
1.083999872207641602e+00 1.764494180679321289e-02
1.639999985694885254e+00 2.376665547490119934e-02
1.730000138282775879e+00 2.082037553191184998e-02
1.930000305175781250e+00 2.111500315368175507e-02
2.335999965667724609e+00 2.311192639172077179e-02
2.782000064849853516e+00 2.461780235171318054e-02
3.347999572753906250e+00 2.926637791097164154e-02
4.017999649047851562e+00 3.512619808316230774e-02
4.619999408721923828e+00 4.095328599214553833e-02
5.614000320434570312e+00 4.812256619334220886e-02
6.723999977111816406e+00 5.568468198180198669e-02
7.631999492645263672e+00 6.193734332919120789e-02
7.756000041961669922e+00 6.380332261323928833e-02
7.667999744415283203e+00 6.635676324367523193e-02
6.995999813079833984e+00 6.550561636686325073e-02
5.915999412536621094e+00 6.380332261323928833e-02
5.274000167846679688e+00 6.527645885944366455e-02
5.228000164031982422e+00 7.116901874542236328e-02
5.119999408721923828e+00 7.296952605247497559e-02
4.903999805450439453e+00 6.992503255605697632e-02
5.259999632835388184e-01 8.478737436234951019e-03
8.379999995231628418e-01 1.352014951407909393e-02
1.058000087738037109e+00 1.715389452874660492e-02
1.120000004768371582e+00 1.816872321069240570e-02
1.088000059127807617e+00 1.771041378378868103e-02
1.107999801635742188e+00 1.813598722219467163e-02
1.207999825477600098e+00 1.977280899882316589e-02
1.382000088691711426e+00 2.235898748040199280e-02
1.650000095367431641e+00 2.690935321152210236e-02
2.151999950408935547e+00 3.502799198031425476e-02
2.683999776840209961e+00 4.383409395813941956e-02
3.251999855041503906e+00 5.322945117950439453e-02
3.529999971389770508e+00 5.774708092212677002e-02
3.613999843597412109e+00 5.899106338620185852e-02
3.794000148773193359e+00 6.141356006264686584e-02
3.534000158309936523e+00 5.614299327135086060e-02
3.115999937057495117e+00 4.992306977510452271e-02
2.982000350952148438e+00 4.841719567775726318e-02
2.811999797821044922e+00 4.602743312716484070e-02
2.541999816894531250e+00 4.160801321268081665e-02
6.959999799728393555e-01 1.135954447090625763e-02
1.179999947547912598e+00 1.895439811050891876e-02
1.523999929428100586e+00 2.278456278145313263e-02
1.807999730110168457e+00 2.563263289630413055e-02
2.029999971389770508e+00 2.753134630620479584e-02
2.053999900817871094e+00 2.507611364126205444e-02
1.947999835014343262e+00 2.154057659208774567e-02
2.000000000000000000e+00 2.046027407050132751e-02
2.141999959945678711e+00 2.170426025986671448e-02
2.629999876022338867e+00 2.609094232320785522e-02
3.145999670028686523e+00 3.077225387096405029e-02
3.526000022888183594e+00 3.368579596281051636e-02
3.462000131607055664e+00 3.306380286812782288e-02
3.266000032424926758e+00 3.162340074777603149e-02
2.829999923706054688e+00 2.920090407133102417e-02
2.051999807357788086e+00 2.383212745189666748e-02
1.283999919891357422e+00 1.774314977228641510e-02
9.659999012947082520e-01 1.496055256575345993e-02
9.579999446868896484e-01 1.538612693548202515e-02
9.279998540878295898e-01 1.515697129070758820e-02
7.099999785423278809e-01 1.155596319586038589e-02
1.449999928474426270e+00 2.363570965826511383e-02
1.979999780654907227e+00 3.162340074777603149e-02
1.971999883651733398e+00 3.113235346972942352e-02
