# FGSM attack with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
4.279999732971191406e-01 3.952569328248500824e-03
3.140000104904174805e-01 2.899782033637166023e-03
2.240000069141387939e-01 2.068634377792477608e-03
1.579999923706054688e-01 1.440656022168695927e-03
1.299999952316284180e-01 1.182076754048466682e-03
1.140000000596046448e-01 1.034317188896238804e-03
8.999999612569808960e-02 8.126777829602360725e-04
7.199999690055847168e-02 6.279782974161207676e-04
7.400000095367431641e-02 6.464482285082340240e-04
9.639999866485595703e-01 8.865575306117534637e-03
1.011999964714050293e+00 9.308854117989540100e-03
1.062000036239624023e+00 9.770602919161319733e-03
1.076000094413757324e+00 9.899892844259738922e-03
1.074000000953674316e+00 9.881422854959964752e-03
1.057999968528747559e+00 9.733662940561771393e-03
1.008000016212463379e+00 9.271914139389991760e-03
9.239999651908874512e-01 8.496176451444625854e-03
8.080000281333923340e-01 7.424919400364160538e-03
6.699999570846557617e-01 6.150492932647466660e-03
5.580000281333923340e-01 5.116175860166549683e-03
4.299999773502349854e-01 3.934099338948726654e-03
3.280000090599060059e-01 2.992131747305393219e-03
2.599999904632568359e-01 2.364153508096933365e-03
2.079999893903732300e-01 1.883934834040701389e-03
1.739999949932098389e-01 1.569945714436471462e-03
1.640000045299530029e-01 1.440656022168695927e-03
1.439999938011169434e-01 1.237486605532467365e-03
1.440000087022781372e-01 1.237486605532467365e-03
1.260000020265579224e-01 1.052787061780691147e-03
1.180000066757202148e+00 1.087880041450262070e-02
1.299999952316284180e+00 1.198699697852134705e-02
1.370000004768371582e+00 1.263344567269086838e-02
1.361999988555908203e+00 1.255956571549177170e-02
1.313999891281127930e+00 1.213475689291954041e-02
1.220000028610229492e+00 1.126666925847530365e-02
1.101999998092651367e+00 1.015847176313400269e-02
9.960000514984130859e-01 9.161095134913921356e-03
8.460000157356262207e-01 7.757378742098808289e-03
7.240000963211059570e-01 6.630711723119020462e-03
5.939999818801879883e-01 5.393225234001874924e-03
4.859999716281890869e-01 4.303498193621635437e-03
4.040000140666961670e-01 3.509290283545851707e-03
3.420000076293945312e-01 2.918252022936940193e-03
2.720000147819519043e-01 2.327213529497385025e-03
2.240000069141387939e-01 1.865464844740927219e-03
1.860000044107437134e-01 1.496065873652696609e-03
1.579999923706054688e-01 1.237486605532467365e-03
1.379999965429306030e-01 1.034317188896238804e-03
1.160000041127204895e-01 8.680876344442367554e-04
9.619999527931213379e-01 8.884045295417308807e-03
1.015999913215637207e+00 9.308854117989540100e-03
1.071999907493591309e+00 9.789072908461093903e-03
1.118000030517578125e+00 1.019541174173355103e-02
1.143999934196472168e+00 1.039858162403106689e-02
1.120000004768371582e+00 1.015847176313400269e-02
1.057999968528747559e+00 9.585903957486152649e-03
1.008000016212463379e+00 9.142625145614147186e-03
8.899999856948852539e-01 8.052897639572620392e-03
7.580000162124633789e-01 6.796941161155700684e-03
6.280000209808349609e-01 5.559454672038555145e-03
4.980000257492065430e-01 4.377378150820732117e-03
3.899999856948852539e-01 3.306120866909623146e-03
3.340000212192535400e-01 2.807432319968938828e-03
2.820000052452087402e-01 2.308743773028254509e-03
2.419999986886978149e-01 1.939344685524702072e-03
2.060000151395797729e-01 1.643825438804924488e-03
1.799999922513961792e-01 1.385246170684695244e-03
1.620000004768371582e-01 1.219016616232693195e-03
1.419999897480010986e-01 1.071257051080465317e-03
1.067999958992004395e+00 9.789072908461093903e-03
1.191999912261962891e+00 1.086033042520284653e-02
1.250000000000000000e+00 1.139595825225114822e-02
1.277999997138977051e+00 1.165453810244798660e-02
1.273999929428100586e+00 1.159912813454866409e-02
1.197999954223632812e+00 1.093421038240194321e-02
1.133999943733215332e+00 1.030623167753219604e-02
1.019999980926513672e+00 9.345794096589088440e-03
8.599999547004699707e-01 7.886668667197227478e-03
7.359999418258666992e-01 6.760001648217439651e-03
5.999999642372131348e-01 5.504044704139232635e-03
4.799999892711639404e-01 4.395848140120506287e-03
3.639999926090240479e-01 3.343060845509171486e-03
2.840000092983245850e-01 2.604262903332710266e-03
2.119999974966049194e-01 1.920874696224927902e-03
1.680000126361846924e-01 1.496065873652696609e-03
1.480000019073486328e-01 1.292896457016468048e-03
1.400000005960464478e-01 1.182076754048466682e-03
1.319999992847442627e-01 1.108196913264691830e-03
1.219999939203262329e-01 1.015847199596464634e-03
9.419999718666076660e-01 8.662406355142593384e-03
9.960000514984130859e-01 9.124155156314373016e-03
1.026000022888183594e+00 9.401204064488410950e-03
1.049999952316284180e+00 9.604373946785926819e-03
1.046000003814697266e+00 9.548963978886604309e-03
1.029999971389770508e+00 9.401204064488410950e-03
9.880000352859497070e-01 8.994865231215953827e-03
9.260000586509704590e-01 8.422296494245529175e-03
8.379999399185180664e-01 7.628089282661676407e-03
7.340000271797180176e-01 6.649181712418794632e-03
6.439999938011169434e-01 5.818034056574106216e-03
5.139999985694885254e-01 4.635957069694995880e-03
4.059999883174896240e-01 3.675519954413175583e-03
3.159999847412109375e-01 2.844372298568487167e-03
2.520000040531158447e-01 2.290273783728480339e-03
1.779999881982803345e-01 1.625355565920472145e-03
1.499999910593032837e-01 1.385246170684695244e-03
1.160000041127204895e-01 1.071257051080465317e-03
1.120000034570693970e-01 1.034317188896238804e-03
1.120000034570693970e-01 1.034317188896238804e-03
1.018000006675720215e+00 9.308854117989540100e-03
1.120000004768371582e+00 1.025082170963287354e-02
1.211999893188476562e+00 1.106349937617778778e-02
1.271999955177307129e+00 1.159912813454866409e-02
1.297999978065490723e+00 1.183923706412315369e-02
1.276000022888183594e+00 1.165453810244798660e-02
1.173999905586242676e+00 1.073104050010442734e-02
1.046000003814697266e+00 9.530493989586830139e-03
9.079999923706054688e-01 8.256067521870136261e-03
7.639999985694885254e-01 6.944701075553894043e-03
6.160000562667846680e-01 5.577924661338329315e-03
5.159999728202819824e-01 4.617487546056509018e-03
4.060000181198120117e-01 3.583170240744948387e-03
3.179999887943267822e-01 2.825902309268712997e-03
2.840000092983245850e-01 2.493443200364708900e-03
2.320000082254409790e-01 2.031694399192929268e-03
2.039999961853027344e-01 1.773115131072700024e-03
1.759999990463256836e-01 1.569945714436471462e-03
1.499999910593032837e-01 1.348306308500468731e-03
1.319999992847442627e-01 1.182076754048466682e-03
1.014000058174133301e+00 9.364264085888862610e-03
1.085999965667724609e+00 1.002918276935815811e-02
1.118000030517578125e+00 1.030623167753219604e-02
1.108000040054321289e+00 1.021388173103332520e-02
1.088000059127807617e+00 1.002918276935815811e-02
1.046000003814697266e+00 9.604373946785926819e-03
9.599999785423278809e-01 8.847105316817760468e-03
8.860000371932983398e-01 8.145247586071491241e-03
7.580000162124633789e-01 6.963171064853668213e-03
6.379999518394470215e-01 5.854974035173654556e-03
5.239999890327453613e-01 4.802186973392963409e-03
4.239999949932098389e-01 3.878689371049404144e-03
3.480000197887420654e-01 3.176831174641847610e-03
2.760000228881835938e-01 2.530382946133613586e-03
2.180000096559524536e-01 1.976284664124250412e-03
1.640000045299530029e-01 1.477595884352922440e-03
1.340000033378601074e-01 1.163606764748692513e-03
1.099999994039535522e-01 9.604373481124639511e-04
1.119999960064888000e-01 9.234974859282374382e-04
9.999999403953552246e-02 7.757378625683486462e-04
9.440000057220458984e-01 8.680876344442367554e-03
1.001999974250793457e+00 9.198035113513469696e-03
1.019999980926513672e+00 9.345794096589088440e-03
1.039999961853027344e+00 9.512024000287055969e-03
1.032000064849853516e+00 9.401204064488410950e-03
9.939998984336853027e-01 9.068745188415050507e-03
9.220000505447387695e-01 8.385356515645980835e-03
8.659999370574951172e-01 7.886668667197227478e-03
7.519999742507934570e-01 6.852351129055023193e-03
6.480000019073486328e-01 5.910383537411689758e-03
5.379999876022338867e-01 4.913006443530321121e-03
4.499999880790710449e-01 4.081858787685632706e-03
3.240000009536743164e-01 2.955191768705844879e-03
2.580000162124633789e-01 2.345683518797159195e-03
1.920000016689300537e-01 1.717705279588699341e-03
1.739999949932098389e-01 1.496065873652696609e-03
1.400000005960464478e-01 1.182076754048466682e-03
1.180000007152557373e-01 9.789073374122381210e-04
1.080000102519989014e-01 8.496176451444625854e-04
1.099999994039535522e-01 8.126777829602360725e-04
9.179999828338623047e-01 8.403826504945755005e-03
9.679999351501464844e-01 8.865575306117534637e-03
1.034000039100646973e+00 9.475084021687507629e-03
1.063999891281127930e+00 9.752132929861545563e-03
1.065999984741210938e+00 9.752132929861545563e-03
1.043999910354614258e+00 9.548963978886604309e-03
1.039999961853027344e+00 9.512024000287055969e-03
9.899999499320983887e-01 9.068745188415050507e-03
9.219999313354492188e-01 8.440766483545303345e-03
8.600000739097595215e-01 7.849728688597679138e-03
7.620000839233398438e-01 6.981641054153442383e-03
6.440000534057617188e-01 5.910383537411689758e-03
5.500000119209289551e-01 5.042296368628740311e-03
4.759999811649322510e-01 4.358908161520957947e-03
3.819999992847442627e-01 3.490820527076721191e-03
3.319999873638153076e-01 3.047541715204715729e-03
