# FGSM attack with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon in batches of 42 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
2.523809671401977539e-01 2.300000051036477089e-03
2.000000178813934326e-01 1.749999937601387501e-03
1.571428626775741577e-01 1.300000003539025784e-03
1.238095313310623169e-01 9.499999578110873699e-04
1.047619059681892395e-01 7.999999797903001308e-04
8.095238357782363892e-02 5.999999702908098698e-04
6.190476194024085999e-02 4.999999655410647392e-04
1.019047617912292480e+00 1.069999951869249344e-02
1.190476298332214355e+00 1.239999942481517792e-02
1.266666650772094727e+00 1.319999992847442627e-02
1.271428585052490234e+00 1.324999984353780746e-02
1.223809599876403809e+00 1.274999976158142090e-02
1.042857289314270020e+00 1.084999926388263702e-02
8.238095045089721680e-01 8.549999445676803589e-03
6.190476417541503906e-01 6.399999838322401047e-03
4.047619104385375977e-01 4.199999850243330002e-03
3.238095343112945557e-01 3.349999897181987762e-03
3.095238506793975830e-01 3.150000004097819328e-03
2.809523642063140869e-01 2.799999900162220001e-03
2.285714447498321533e-01 2.149999840185046196e-03
2.190476208925247192e-01 1.999999862164258957e-03
1.809523999691009521e-01 1.549999928101897240e-03
1.571428626775741577e-01 1.249999972060322762e-03
1.142857223749160767e-01 8.999999845400452614e-04
9.047619998455047607e-02 6.999999750405550003e-04
6.190476194024085999e-02 4.999999655410647392e-04
4.285714402794837952e-02 3.999999898951500654e-04
1.085714221000671387e+00 1.129999943077564240e-02
1.319047689437866211e+00 1.370000001043081284e-02
1.433333516120910645e+00 1.484999991953372955e-02
1.476190447807312012e+00 1.524999924004077911e-02
1.438095331192016602e+00 1.480000000447034836e-02
1.309523820877075195e+00 1.354999933391809464e-02
1.000000000000000000e+00 1.044999994337558746e-02
7.000000476837158203e-01 7.299999706447124481e-03
4.714285731315612793e-01 4.949999973177909851e-03
4.285714924335479736e-01 4.449999891221523285e-03
3.809523880481719971e-01 3.949999809265136719e-03
3.142857253551483154e-01 3.249999834224581718e-03
2.523809671401977539e-01 2.600000007078051567e-03
2.190476357936859131e-01 2.249999903142452240e-03
1.619047671556472778e-01 1.649999991059303284e-03
1.380952447652816772e-01 1.399999950081110001e-03
9.523809701204299927e-02 9.499999578110873699e-04
6.666667014360427856e-02 6.500000017695128918e-04
4.761904850602149963e-02 4.499999922700226307e-04
2.380952425301074982e-02 2.499999827705323696e-04
1.185714244842529297e+00 1.229999959468841553e-02
1.376190543174743652e+00 1.425000000745058060e-02
1.485714316368103027e+00 1.535000000149011612e-02
1.490476250648498535e+00 1.539999991655349731e-02
1.338095307350158691e+00 1.379999984055757523e-02
1.114285707473754883e+00 1.150000002235174179e-02
8.428571224212646484e-01 8.750000037252902985e-03
5.095238089561462402e-01 5.299999844282865524e-03
2.952380776405334473e-01 3.099999856203794479e-03
2.523809671401977539e-01 2.649999922141432762e-03
2.190476357936859131e-01 2.300000051036477089e-03
1.904761940240859985e-01 1.999999862164258957e-03
1.714285910129547119e-01 1.749999937601387501e-03
1.571428626775741577e-01 1.549999928101897240e-03
1.142857223749160767e-01 1.099999994039535522e-03
8.095238357782363892e-02 7.999999797903001308e-04
6.666667014360427856e-02 6.500000017695128918e-04
5.714286118745803833e-02 5.499999970197677612e-04
4.761904850602149963e-02 4.499999922700226307e-04
3.333333507180213928e-02 3.499999875202775002e-04
1.200000047683715820e+00 1.260000001639127731e-02
1.380952358245849609e+00 1.449999958276748657e-02
1.500000119209289551e+00 1.575000025331974030e-02
1.495238065719604492e+00 1.569999940693378448e-02
1.361904859542846680e+00 1.425000000745058060e-02
1.142857193946838379e+00 1.189999934285879135e-02
8.809524178504943848e-01 9.149999357759952545e-03
6.476190686225891113e-01 6.749999709427356720e-03
4.190476238727569580e-01 4.299999680370092392e-03
3.809523880481719971e-01 3.899999894201755524e-03
3.523809611797332764e-01 3.599999938160181046e-03
3.333333432674407959e-01 3.349999897181987762e-03
3.047619163990020752e-01 3.000000026077032089e-03
2.476190477609634399e-01 2.399999881163239479e-03
2.285714447498321533e-01 2.199999988079071045e-03
2.000000178813934326e-01 1.899999915622174740e-03
1.952380985021591187e-01 1.850000000558793545e-03
1.571428626775741577e-01 1.449999981559813023e-03
1.095238178968429565e-01 9.999999310821294785e-04
7.619048655033111572e-02 6.999999750405550003e-04
9.904761910438537598e-01 1.019999943673610687e-02
1.219047665596008301e+00 1.260000001639127731e-02
1.314285755157470703e+00 1.359999924898147583e-02
1.323809623718261719e+00 1.370000001043081284e-02
1.190476179122924805e+00 1.234999950975179672e-02
9.619048237800598145e-01 9.999999776482582092e-03
7.190476655960083008e-01 7.499999832361936569e-03
5.047619342803955078e-01 5.299999844282865524e-03
3.571428656578063965e-01 3.749999916180968285e-03
3.190476298332214355e-01 3.349999897181987762e-03
2.666666805744171143e-01 2.799999900162220001e-03
2.476190477609634399e-01 2.600000007078051567e-03
2.190476208925247192e-01 2.300000051036477089e-03
2.047619223594665527e-01 2.149999840185046196e-03
1.666666716337203979e-01 1.749999937601387501e-03
1.190476194024085999e-01 1.249999972060322762e-03
8.095238357782363892e-02 8.499999530613422394e-04
4.285714402794837952e-02 4.499999922700226307e-04
3.809523954987525940e-02 3.999999898951500654e-04
2.380952425301074982e-02 2.499999827705323696e-04
1.052381038665771484e+00 1.090000011026859283e-02
1.242857217788696289e+00 1.289999950677156448e-02
1.319047689437866211e+00 1.365000009536743164e-02
1.338095426559448242e+00 1.389999967068433762e-02
1.271428585052490234e+00 1.319999992847442627e-02
1.109523892402648926e+00 1.150000002235174179e-02
8.761905431747436523e-01 9.049999527633190155e-03
6.190476417541503906e-01 6.399999838322401047e-03
3.857143223285675049e-01 4.050000105053186417e-03
3.571428656578063965e-01 3.700000001117587090e-03
3.142857253551483154e-01 3.249999834224581718e-03
2.619047760963439941e-01 2.699999837204813957e-03
2.142857164144515991e-01 2.199999988079071045e-03
1.809523850679397583e-01 1.850000000558793545e-03
1.523809581995010376e-01 1.599999959580600262e-03
1.095238178968429565e-01 1.150000025518238544e-03
9.047619998455047607e-02 9.499999578110873699e-04
7.142857462167739868e-02 7.500000065192580223e-04
4.761904850602149963e-02 4.999999655410647392e-04
2.380952425301074982e-02 2.499999827705323696e-04
8.571428656578063965e-01 8.849999867379665375e-03
9.857143163681030273e-01 1.019999943673610687e-02
1.128571510314941406e+00 1.169999968260526657e-02
1.166666746139526367e+00 1.209999993443489075e-02
1.166666746139526367e+00 1.209999993443489075e-02
1.033333420753479004e+00 1.069999951869249344e-02
8.333333730697631836e-01 8.700000122189521790e-03
5.523809790611267090e-01 5.799999926239252090e-03
3.238095343112945557e-01 3.399999812245368958e-03
2.761904895305633545e-01 2.899999963119626045e-03
2.666666805744171143e-01 2.799999900162220001e-03
2.142857462167739868e-01 2.199999988079071045e-03
1.904761940240859985e-01 1.850000000558793545e-03
1.666666716337203979e-01 1.599999959580600262e-03
1.380952447652816772e-01 1.300000003539025784e-03
9.523809701204299927e-02 8.499999530613422394e-04
7.619047909975051880e-02 6.500000017695128918e-04
5.714286118745803833e-02 4.499999922700226307e-04
4.285714402794837952e-02 3.499999875202775002e-04
4.285714402794837952e-02 3.499999875202775002e-04
8.190476894378662109e-01 8.499999530613422394e-03
1.019047617912292480e+00 1.059999968856573105e-02
1.157142877578735352e+00 1.200000010430812836e-02
1.152380943298339844e+00 1.194999925792217255e-02
1.061904788017272949e+00 1.095000002533197403e-02
8.761904835700988770e-01 9.049999527633190155e-03
6.761904954910278320e-01 6.949999835342168808e-03
4.238095581531524658e-01 4.299999680370092392e-03
2.952380776405334473e-01 2.899999963119626045e-03
2.666666805744171143e-01 2.600000007078051567e-03
2.428571581840515137e-01 2.349999966099858284e-03
2.190476357936859131e-01 2.099999925121665001e-03
1.761904656887054443e-01 1.649999991059303284e-03
1.333333402872085571e-01 1.199999940581619740e-03
1.285714209079742432e-01 1.150000025518238544e-03
1.047619059681892395e-01 8.999999845400452614e-04
7.619047909975051880e-02 5.999999702908098698e-04
6.190476566553115845e-02 4.499999922700226307e-04
4.761904850602149963e-02 2.999999851454049349e-04
4.285714402794837952e-02 2.499999827705323696e-04
9.095238447189331055e-01 9.549999609589576721e-03
1.085714340209960938e+00 1.134999934583902359e-02
